UA,2013,3	407.6256,333.6,2050040
UA,2013,7	419.68604,338.85,2094624
UA,2014,2	428.74948,343.0,2130915
UA,2014,6	439.69382,348.0,2173604
UA,2015,1	448.75137,352.5,2211928
US,2013,1	450.3632,354.33,2245398
US,2013,10	451.8214,356.16,2280605
US,2013,5	453.42868,357.75,2315942
US,2013,9	454.76898,359.1,2348420
US,2014,11	456.4074,360.96,2381559
US,2014,4	458.3387,362.73,2416115
US,2014,8	460.3361,364.5,2450921
VX,2013,1	460.66083,364.56,2455149
VX,2013,10	460.97202,364.72,2460080
VX,2013,5	461.26495,364.87,2465199
VX,2013,9	461.49146,365.0,2469951
VX,2014,11	461.80637,365.19,2474668
VX,2014,4	462.1377,365.31,2479519
VX,2014,8	462.5272,365.49,2484407
WN,2013,2	451.97757,356.4,2567066
WN,2013,6	440.14954,346.32,2663983
WN,2014,1	430.5079,337.46,2754797
WN,2014,10	420.45032,328.1,2853839
WN,2014,5	410.94113,319.2,2954020
WN,2014,9	402.919,311.06,3048395
YV,2013,11	402.61697,310.62,3060014
YV,2013,4	402.1445,310.2,3071226
YV,2013,8	401.56787,309.7,3084185
9E,2013,4	282.19122,265.24,26047
9E,2013,8	281.0325,263.25,53063
AA,2013,4	376.2601,322.3,97191
AA,2013,8	412.37924,362.9,143892
AA,2014,10	432.93124,387.45,188882
AA,2014,3	448.19592,406.0,235023
AA,2014,7	457.5082,416.4,282202
AS,2013,11	446.75558,406.4,294509
AS,2013,2	437.9685,398.04,305393
AS,2013,6	427.1103,386.75,319354
AS,2014,1	419.25757,378.0,331667
AS,2014,12	411.23978,368.9,345220
AS,2014,5	403.7065,360.0,358417
AS,2014,9	396.62192,351.45,371677
B6,2013,4	401.8525,358.05,391660
B6,2013,8	406.57693,362.97,413607
B6,2014,10	410.67477,367.2,433685
B6,2014,3	415.37082,372.9,455125
B6,2014,7	419.41766,377.15,477637
DL,2013,4	436.87994,392.0,539611
DL,2013,8	451.4344,403.0,608482
DL,2014,10	462.32498,410.4,678792
DL,2014,3	472.5276,417.45,745566
DL,2014,7	481.92764,424.0,817651
EV,2013,1	469.1474,409.34,875039
EV,2013,12	458.21268,396.9,933279
EV,2013,5	447.08252,384.2,997455
EV,2013,9	437.6599,373.92,1058271
EV,2014,4	430.57822,366.52,1115456
EV,2014,8	423.9351,359.8,1174104
F9,2013,10	422.4058,358.4,1180608
F9,2013,3	421.04816,357.0,1186497
F9,2013,7	419.42715,355.35,1193298
F9,2014,11	417.55176,353.76,1201020
F9,2014,2	416.32098,352.63,1206205
F9,2014,6	414.5462,351.0,1213738
F9,2015,1	412.97137,349.6,1220562
FL,2013,11	412.43298,349.32,1232229
FL,2013,2	411.8978,349.2,1246275
FL,2013,6	411.28845,349.02,1261955
FL,2014,1	410.96725,348.84,1271317
FL,2014,12	410.85492,348.75,1274255
FL,2014,5	410.61475,348.7,1281949
FL,2014,9	410.46765,348.6,1286801
HA,2013,1	409.76437,347.82,1292780
HA,2013,12	409.12173,347.1,1298808
HA,2013,5	408.44757,346.32,1304830
HA,2013,9	407.8147,345.6,1310658
HA,2014,4	407.19995,344.72,1316561
HA,2014,8	406.6249,343.98,1323364
MQ,2013,4	403.40417,341.01,1360403
